date,addrcode,province,district,subdist,province_en,district_en,subdist_en,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total
2016-02-01,810503,กระบี่,อ่าวลึก,นาเหนือ,Krabi,Ao Luek,Na Nuea,32,1,307,10,9,104,38,1,502
2016-02-01,810507,กระบี่,อ่าวลึก,เขาใหญ่,Krabi,Ao Luek,Khao Yai,80,2,253,3,16,146,55,0,555
2016-03-01,810604,กระบี่,ปลายพระยา,คีรีวง,Krabi,Plai Phraya,Khiri Wong,87,1,160,5,35,175,31,2,496
2016-02-01,810205,กระบี่,เขาพนม,หน้าเขา,Krabi,Khao Phanom,Na Khao,33,1,263,2,21,112,28,0,460
2016-02-01,810508,กระบี่,อ่าวลึก,คลองยา,Krabi,Ao Luek,Khlong Ya,48,1,214,2,18,143,36,0,462
2016-03-01,810506,กระบี่,อ่าวลึก,อ่าวลึกเหนือ,Krabi,Ao Luek,Ao Luek Nuea,136,1,367,12,36,236,103,2,893
2016-03-01,810501,กระบี่,อ่าวลึก,อ่าวลึกใต้,Krabi,Ao Luek,Ao Luek Tai,155,6,575,10,33,439,108,2,1328
2016-03-01,810509,กระบี่,อ่าวลึก,บ้านกลาง,Krabi,Ao Luek,Ban Klang,18,2,223,1,10,85,61,0,400
2016-03-01,810202,กระบี่,เขาพนม,เขาดิน,Krabi,Khao Phanom,Khao Din,98,2,566,8,46,303,80,0,1103
2016-02-01,810504,กระบี่,อ่าวลึก,คลองหิน,Krabi,Ao Luek,Khlong Hin,76,3,394,4,26,190,105,1,799
2016-02-01,810505,กระบี่,อ่าวลึก,อ่าวลึกน้อย,Krabi,Ao Luek,Ao Luek Noi,64,3,366,5,26,148,35,1,648
2016-03-01,810203,กระบี่,เขาพนม,สินปุน,Krabi,Khao Phanom,Sin Pun,48,0,254,5,32,260,60,1,660
2016-03-01,810204,กระบี่,เขาพนม,พรุเตียว,Krabi,Khao Phanom,Phru Tiao,24,1,251,3,14,165,68,0,526
2016-03-01,810111,กระบี่,เมืองกระบี่,ทับปริก,Krabi,Mueang Krabi,Thap Prik,12,1,68,2,4,31,27,1,146
2016-03-01,810201,กระบี่,เขาพนม,เขาพนม,Krabi,Khao Phanom,Khao Phanom,49,0,186,5,13,86,30,1,370
2016-03-01,810105,กระบี่,เมืองกระบี่,เขาคราม,Krabi,Mueang Krabi,Khao Khram,2,0,38,1,3,16,16,0,76
2016-03-01,810103,กระบี่,เมืองกระบี่,กระบี่น้อย,Krabi,Mueang Krabi,Krabi Noi,32,8,558,7,22,341,69,2,1039
2016-03-01,810206,กระบี่,เขาพนม,โคกหาร,Krabi,Khao Phanom,Khok Han,28,0,78,1,20,96,25,0,248
2016-03-01,810808,กระบี่,เหนือคลอง,ห้วยยูง,Krabi,Nuea Khlong,Huai Yung,40,3,269,11,12,217,80,2,634
2016-03-01,810106,กระบี่,เมืองกระบี่,เขาทอง,Krabi,Mueang Krabi,Khao Thong,21,4,153,2,19,138,58,1,396
2016-03-01,810407,กระบี่,คลองท่อม,เพหลา,Krabi,Khlong Thom,Phela,34,3,351,2,8,129,62,0,589
2016-03-01,810406,กระบี่,คลองท่อม,พรุดินนา,Krabi,Khlong Thom,Phru Din Na,48,3,412,3,17,134,55,2,674
2016-03-01,810805,กระบี่,เหนือคลอง,โคกยาง,Krabi,Nuea Khlong,Khok Yang,16,1,640,1,3,169,56,0,886
2016-03-01,810702,กระบี่,ลำทับ,ดินอุดม,Krabi,Lam Thap,Din Udom,16,1,51,0,8,104,21,1,202
2016-03-01,810701,กระบี่,ลำทับ,ลำทับ,Krabi,Lam Thap,Lam Thap,91,2,329,2,15,182,55,1,677
2016-03-01,810117,กระบี่,เมืองกระบี่,หนองทะเล,Krabi,Mueang Krabi,Nong Thale,13,2,114,5,17,154,33,0,338
2016-03-01,810703,กระบี่,ลำทับ,ทุ่งไทรทอง,Krabi,Lam Thap,Thung Sai Thong,68,1,268,3,12,124,46,0,522
2016-03-01,810801,กระบี่,เหนือคลอง,เหนือคลอง,Krabi,Nuea Khlong,Nuea Khlong,134,11,825,25,31,443,130,2,1601
2016-03-01,810115,กระบี่,เมืองกระบี่,ไสไทย,Krabi,Mueang Krabi,Sai Thai,16,1,171,2,10,97,41,1,339
2016-03-01,810116,กระบี่,เมืองกระบี่,อ่าวนาง,Krabi,Mueang Krabi,Ao Nang,7,1,81,3,6,100,23,2,223
2016-03-01,810118,กระบี่,เมืองกระบี่,คลองประสงค์,Krabi,Mueang Krabi,Khlong Prasong,0,1,16,0,2,16,5,0,40
2016-03-01,810807,กระบี่,เหนือคลอง,ปกาสัย,Krabi,Nuea Khlong,Pakasai,41,3,891,7,5,230,83,0,1260
2016-03-01,810804,กระบี่,เหนือคลอง,คลองเขม้า,Krabi,Nuea Khlong,Khlong Khamao,77,8,536,6,16,223,53,0,919
2016-03-01,810704,กระบี่,ลำทับ,ดินแดง,Krabi,Lam Thap,Din Daeng,25,9,473,7,32,342,76,2,966
2016-03-01,810803,กระบี่,เหนือคลอง,คลองขนาน,Krabi,Nuea Khlong,Khlong Khanan,72,4,599,8,20,179,51,1,934
2016-03-01,810402,กระบี่,คลองท่อม,คลองท่อมเหนือ,Krabi,Khlong Thom,Khlong Thom Nuea,6,0,131,3,25,112,49,1,327
2016-03-01,810806,กระบี่,เหนือคลอง,ตลิ่งชัน,Krabi,Nuea Khlong,Taling Chan,9,1,157,4,7,72,10,0,260
2016-03-01,810401,กระบี่,คลองท่อม,คลองท่อมใต้,Krabi,Khlong Thom,Khlong Thom Tai,25,7,758,9,21,259,110,0,1189
2016-03-01,810405,กระบี่,คลองท่อม,ห้วยน้ำขาว,Krabi,Khlong Thom,Huai Nam Khao,16,4,291,4,24,209,118,1,667
2016-03-01,810403,กระบี่,คลองท่อม,คลองพน,Krabi,Khlong Thom,Khlong Phon,91,6,287,6,31,264,96,1,782
2016-03-01,810304,กระบี่,เกาะลันตา,คลองยาง,Krabi,Ko Lanta,Khlong Yang,15,1,426,7,10,98,25,1,583
2016-03-01,810303,กระบี่,เกาะลันตา,เกาะกลาง,Krabi,Ko Lanta,Ko Klang,17,1,228,4,8,95,41,1,395
2016-03-01,810404,กระบี่,คลองท่อม,ทรายขาว,Krabi,Khlong Thom,Sai Khao,92,3,643,17,9,268,77,2,1111
2016-04-01,810305,กระบี่,เกาะลันตา,ศาลาด่าน,Krabi,Ko Lanta,Sala Dan,15,7,251,10,7,172,31,0,493
2016-02-01,810603,กระบี่,ปลายพระยา,เขาต่อ,Krabi,Plai Phraya,Khao To,10,2,347,6,12,151,50,1,579
2016-03-01,810601,กระบี่,ปลายพระยา,ปลายพระยา,Krabi,Plai Phraya,Plai Phraya,102,5,605,8,44,378,73,4,1219
2016-02-01,810602,กระบี่,ปลายพระยา,เขาเขน,Krabi,Plai Phraya,Khao Khen,38,2,270,1,35,139,24,0,509
