distcode,predicted,actual
1001,600.520674439878,779.527648176594
1002,409.370941276537,442.758438033168
1003,278.442048581659,511.152661935489
1004,378.26676181732,315.606136726765
1005,235.835686981461,118.293637588071
1006,320.508835706551,233.673322188164
1007,342.021010613309,346.49851778731
1008,421.739595810478,355.258237617257
1010,218.951845758702,152.122825839319
1011,240.614844682893,341.307465982046
1012,308.855678571359,161.367362549772
1013,336.448867892878,176.111464475675
1014,220.618856176907,95.2816842806025
1015,329.735353818345,584.231397395445
1016,115.891901917781,167.365273257491
1017,245.504879879758,321.704455072423
1018,352.128757707268,273.888279648199
1019,332.075454380611,397.28153582115
1020,216.761565463586,449.235900467406
1021,293.180516209316,132.861383209711
1022,200.409187662131,490.129203137461
1023,172.911978788234,93.6609131070088
1024,165.446101542357,180.592296746769
1025,269.909625364167,445.9409129268
1026,150.005708031084,99.8660923156349
1027,175.137744919032,154.102938157538
1028,238.043529874037,170.964534477478
1029,116.087131853639,135.627341882554
1030,343.42960322846,519.905953165285
1031,232.887583440539,211.591537832362
1032,292.062117594547,242.632287254001
1033,365.783504461351,227.193395694881
1034,264.695059581468,108.920650566782
1035,251.47724185594,308.217948843795
1036,219.566647851334,135.489799924042
1037,402.039976553673,329.074503299303
1038,237.050242314676,192.46887465061
1039,285.978383842032,411.037807142464
1040,193.831932423667,302.025209998599
1041,315.231464781069,138.643168095581
1042,101.697592940387,114.056005703113
1043,247.682916628482,107.084265256735
1044,229.13166648506,99.1766861089469
1045,142.087801075044,447.765110448066
1046,253.591701945884,267.797637385181
1047,59.3730271108067,67.8091346728536
1048,255.445009393235,117.309197470142
1049,201.741501494402,111.335434390149
1050,231.836476804653,90.4457885304659
8001,350.611344425898,924.550166572978
8002,386.930244889509,342.129818286142
8003,352.432611414568,352.393827423667
8004,397.113818489747,526.545620307812
8005,271.556216140714,382.968258027181
8006,354.911221595194,434.28340937377
8007,347.381181249282,317.660029660246
8008,366.000295936314,388.81281244427
8009,343.460970184922,620.10674250044
8010,299.83713056912,302.387096750868
8011,328.209679978064,196.712484477889
8012,315.618697717655,491.553351300617
8013,370.149044318907,204.146257593588
8014,390.506008613822,310.498499338197
8015,317.244273570529,162.284256888364
8016,365.453828117274,448.159646551541
8017,306.506527627824,251.995311971623
8018,283.242827522414,80.9137238967001
8019,293.462815485834,336.938605886448
8020,306.583313860987,273.382552444086
8021,421.917002559527,154.538112321776
8022,384.01892458216,169.96928831606
8023,311.267355058749,189.657971916462
8101,372.568487566122,1289.16733733429
8102,343.417858611752,143.516737296573
8103,379.847898706536,201.031059270682
8104,340.800371251771,428.631069009936
8105,330.21935730498,409.564128196606
8106,348.958240736274,88.2299206245932
8107,298.400521064511,157.570291810732
8108,327.403306668475,161.387268316629
