addrcode,area
100101,14.11
100102,6.62
100103,1.97
100104,2.15
100105,1.39
100106,1.43
100107,4.55
100108,1.75
100109,3.15
100110,3.82
100111,4.18
100112,4.69
100201,21.97
100202,10.33
100203,17.47
100204,3.3
100206,52.17
100301,371.49
100302,284.26
100303,286.75
100304,383.87
100305,203.27
100306,165.7
100307,309.06
100308,228.96
100401,5.95
100402,14.07
100403,5.62
100404,4.47
100405,7.15
100502,167.57
100508,212.97
100601,109.29
100608,146.91
100701,11.5
100702,12.41
100703,19.53
100704,31.16
100801,5.76
100802,4.1
100803,5.41
100804,3.74
100805,4.24
100905,126.07
101001,230.98
101002,336.68
101101,101.8
101102,149.9
101103,163.3
101104,305.59
101105,258.47
101106,215.2
101203,67.96
101204,48.15
101301,4.62
101302,4.62
101303,3.69
101401,85.59
101501,6.97
101502,6.04
101503,9.53
101504,12.85
101505,13.94
101506,15.98
101507,13.27
101601,8.15
101602,50.34
101701,44.92
101702,56.76
101704,49.88
101801,8.48
101802,9.72
101803,21.21
101804,15.99
101901,11.54
101902,58.03
101903,84.64
101904,47.51
101905,91.4
101907,39.12
102004,13.08
102005,21.41
102006,15.24
102007,36.72
102009,28.02
102105,677.63
102107,456.7
102201,57.8
102202,30.9
102206,13.57
102207,27.1
102208,25.04
102209,16.62
102210,7.11
102302,179.83
102303,156.35
102401,47.44
102402,67.07
102501,30.91
102502,28.77
102503,22.1
102504,27.88
102601,78.63
102701,94.09
102704,43.67
102705,79.64
102801,23.05
102802,16.72
102803,27.64
102901,59.86
102902,59.84
103001,99.22
103002,26.3
103003,54.48
103004,51.6
103005,71.79
103101,19.43
103102,15.42
103103,42.33
103201,227.55
103202,119.62
103203,151.65
103301,69.55
103302,18.05
103303,35.34
103401,223.91
103501,58.42
103502,26.21
103503,81.88
103504,48.61
103602,107.93
103604,99.34
103605,133.73
103701,23.14
103702,11.38
103703,9.07
103704,22.99
103801,138.68
103802,58.87
103901,20.25
103902,67.6
103903,32.84
104001,64.66
104002,120.78
104003,146.97
104004,112.34
104101,155.78
104102,54.86
104201,153.38
104202,140.66
104203,111.23
104301,118.42
104302,117.33
104401,260.65
104501,45.64
104502,15.9
104503,33.55
104504,63.5
104601,268.08
104602,401.43
104603,186.92
104604,98.9
104605,161.16
104701,175.9
104801,185.52
104802,295.04
104901,103.69
104902,202.18
105001,332.92
800101,78.86
800102,34.35
800103,20.57
800106,444
800107,311.29
800108,166.28
800112,278.96
800113,133.83
800114,70.99
800115,163.53
800116,601.41
800118,251.08
800119,435.23
800120,856.09
800121,421.14
800122,813.88
800201,496.59
800202,271.93
800203,151.89
800204,1070.58
800205,259.9
800301,778.28
800302,713.45
800303,319.41
800304,867.87
800305,466.89
800401,249.23
800403,958.06
800404,329.45
800405,277
800406,405.52
800407,280.68
800409,596.78
800410,443.74
800415,179.5
800416,235.53
800501,451.83
800502,1094.61
800503,1795.38
800504,820.52
800505,348.29
800601,189.03
800603,185.48
800604,89.32
800605,230.15
800606,231.95
800607,300.2
800610,248.25
800611,645.09
800612,380.97
800613,434.03
800701,652.12
800702,199.78
800703,248.06
800704,1615
800705,1140.22
800706,744.33
800707,544.06
800708,382.81
800709,358.01
800710,484.93
800711,473.39
800801,302.76
800802,378.29
800803,602.48
800804,238.24
800806,467.51
800807,341.44
800809,278.87
800810,275.56
800811,736.82
800813,194.28
800901,82.52
800902,229.68
800903,243.45
800904,417.26
800905,719.31
800906,811.66
800907,800.65
800908,748.05
800909,719.93
800910,1005.29
800911,1196.56
800912,278.05
800913,1047.3
801001,774.62
801002,506.8
801003,614.71
801101,653.21
801102,568.22
801103,734.26
801104,763.46
801105,965.39
801106,754.59
801107,1043.6
801202,523.13
801203,303.15
801204,333.84
801205,234.31
801206,375.5
801207,195.57
801208,230.72
801209,225.78
801210,198.91
801211,108.99
801212,219.64
801213,137.65
801214,677.02
801215,175.92
801216,249.18
801217,311.22
801218,340.74
801301,1100.85
801302,992.14
801303,295.12
801304,277.48
801305,970.95
801306,280.83
801401,363.26
801402,513.79
801403,751.47
801404,369.15
801405,480.81
801406,1202.58
801407,768.35
801408,1141.05
801409,693.07
801501,778.29
801502,1519.87
801503,544.3
801601,445.91
801602,99.22
801603,463.5
801604,756.79
801605,412.55
801606,158.21
801607,107.6
801608,254.3
801609,622.85
801610,231.54
801611,434.37
801701,1429.84
801702,1512.03
801703,686.26
801704,655.53
801801,492.22
801802,523.57
801803,595.19
801901,71.72
801902,178.64
801903,248.22
801904,666.64
801905,535.89
801906,401.15
802001,203.38
802002,265.64
802003,314.45
802004,576.12
802101,1164.44
802102,3905.97
802103,479.44
802104,1044.75
802201,1694.96
802202,348.92
802203,445.66
802301,385.56
802302,166.74
802303,670.43
802304,427.32
810103,1447.73
810105,1081.72
810106,1666.76
810111,1397.45
810115,648.91
810116,371.15
810117,640.17
810118,730.32
810201,1068.25
810202,1122.16
810203,1176.76
810204,1492.23
810205,1546.19
810206,1350.01
810301,404.26
810303,900.98
810304,632.8
810305,305.97
810401,839.51
810402,1741.57
810403,1846.31
810404,1682.42
810405,1157.39
810406,1577.04
810407,1346.69
810501,796.77
810502,1240.08
810503,695.7
810504,969.48
810505,1007.23
810506,655.04
810507,651
810508,780.69
810509,413.63
810601,2161.03
810602,1012.55
810603,965.9
810604,692.87
810701,678.57
810702,514.84
810703,686.52
810704,688.63
810801,426
810802,183.28
810803,971.2
810804,253.49
810805,624.97
810806,208.03
810807,573
810808,1078.45
